Bighorn L.	44°55'N	108°15'W
Bighorn Mts.	44°30'N	107°30'W
Billings	45°47'N	108°30'W
Biloxi	30°24'N	88°53'W
Bingham	45°03'N	69°53'W
binghamton	42°06'N	75°55'W
Birmingham	33°31'N	86°48'W
Bisbee	31°27'N	109°55'W
Biscayne B.	25°40'N	80°12'W
Bishop, Calif.	37°22'N	118°24'W
Bishop, Tex.	27°35'N	97°48'W
Bismarck	46°48'N	100°47'W
Bison	45°31'N	102°28'W
Bitter Creek	41°33'N	108°33'W
Bitterroot	46°52'N	114°07'W
Bitterroot Range	46°00'N	114°20'W
Bitterwater	36°23'N	121°00'W
Biwabik	47°32'N	92°21'W
Bixby	35°57'N	95°53'W
Black, Ariz.	33°44'N	110°13'W
Black, Ark.	35°38'N	91°20'W
Black, Mich	42°59'N	82°27'W
Black, N.Y.	43°59'N	76°04'W
Black, Wis.	43°57'N	91°22'W
Black Forest	39°00'N	104°43'W
Black Hills	44°00'N	103°45'W
Black L. Mich.	45°28'N	84°16'W
Black L. N.Y.	44°31'N	75°36'W
Black Mesa	36°58'N	102°58'W
Black Range	33°15'N	107°50'W
Black River Falls	44°18'N	90°51'W
Black Warrior	32°32'N	87°51'W
Blackfoot	43°11'N	112°21'W
Blackfoot River Reservoir	43°00'N	111°43'W
Blackriver	44°46'N	83°17'W
Blacksburg	37°14'N	80°25'W
Blackstone	37°04'N	78°00'W
Blackwell	36°48'N	97°17'W
Blackwells Corner	35°37'N	119°47'W
Blain	40°20'N	77°31'W
Blaine, Minn.	45°10'N	93°13'W
Blaine, Wash.	48°59'N	122°45'W
Blair	41°33'N	96°08'W
Blairsden	39°47'N	120°37'W
Blairsville	40°26'N	79°16'W
Blake Pt.	48°11'N	88°25'W
Blakely, Ga.	31°23'N	84°56'W
Blakely, Pa.	41°28'N	75°37'W
Blanca Peak	37°35'N	105°29'W
Blanco	30°06'N	98°25'W
Blanco, C.	42°51'N	124°34'W
Blanding	37°37'N	109°29'W
Blasdel	42°48'N	78°50'W
Bliss, Idaho	42°56'N	114°57'W
Bliss, N.Y.	42°34'N	78°15'W
Blissfield	40°24'N	81°58'W
Block I.	41°11'N	71°35'W
Block Island Sd.,	41°15'N	71°40'W
Bloomer	45°06'N	91°27'W
Bloomfield, Iowa	40°45'N	92°25'W
Bloomfield, N. Mex.	36°43'N	107°59'W
Bloomfield, Nebr.	42°36'N	97°39'W
Bloomington, III.	40°28'N	89°00'W
Bloomington, Ind.	39°10'N	86°32'W
Bloomington, Minn.	44°50'N	93°17'W
Bloomsburg	41°00'N	76°27'W
Blossburg	41°41'N	77°04'W
Blountstown	30°27'N	85°03'W
Blue Earth	43°38'N	94°06'W
Blue Mesa Reservoir	38°28'N	107°20'W
Blue Mountain Lake	43°52'N	74°30'W
Blue Mts. Maine	44°50'N	70°35'W
Blue Mts. Oreg.	45°15'N	119°00'W
Blue Mts. Pa.	40°30'N	76°30'W
Blune Rapids	39°41'N	96°39'W
Blue Ridge Mts.	36°30'N	80°15'W
Bluefield	37°15'N	81°17'W
Bluff	37°17'N	109°33'W
Bluffton	40°44'N	85°11'W
Blunt	44°31'N	99°59'W
Bly	42°24'N	121°03'W
Blythe	33°37'N	114°36'W
Blytheville	35°56'N	89°55'W
Boalsburg	40°46'N	77°47'W
Boardman	41°02'N	80°40'W
Boca Raton	26°21'N	80°05'W
Bodega Bay	38°20'N	123°03'W
Boerne	29°47'N	98°44'W
Bogalusa	30°47'N	89°52'W
Bogata	33°28'N	95°13'W
Boise	43°37'N	116°13'W
Boise City	36°44'N	102°31'W
Bolivar, Mo.	37°37'N	93°25'W
Bolivar, N. Y.	42°04'N	78°10'W
Bolivar, Tenn.	35°12'N	89°00'W
Bolton Landing	43°32'N	73°35'W
Bonham	33°35'N	96°11'W
Bonne Terre	37°55'N	90°33'W
Bonners Ferry	48°42'N	116°19'W
